,W##other##,A##area##inches,d##length##inches,b##length##inches,t##length##inches,k##length##inches,x##length##inches,y##length##inches
L8X8X1-1/8,56.9,16.7,8.00,8.00,1.125,1.75,2.40,2.40
L8X8X1,51.0,15.0,8.00,8.00,1,1.625,2.36,2.36
L8X8X7/8,45.0,13.2,8.00,8.00,0.875,1.5,2.31,2.31
L8X8X3/4,38.9,11.4,8.00,8.00,0.75,1.375,2.26,2.26
L8X8X5/8,32.7,9.61,8.00,8.00,0.625,1.25,2.21,2.21
L8X8X9/16,29.6,8.68,8.00,8.00,0.5625,1.1875,2.19,2.19
L8X8X1/2,26.4,7.75,8.00,8.00,0.5,1.125,2.17,2.17
L8X6X1,44.2,13.0,8.00,6.00,1,1.5,1.65,2.65
L8X6X7/8,39.1,11.5,8.00,6.00,0.875,1.375,1.60,2.60
L8X6X3/4,33.8,9.94,8.00,6.00,0.75,1.25,1.56,2.55
L8X6X5/8,28.5,8.36,8.00,6.00,0.625,1.125,1.51,2.50
L8X6X9/16,25.7,7.56,8.00,6.00,0.5625,1.0625,1.49,2.48
L8X6X1/2,23.0,6.75,8.00,6.00,0.5,1,1.46,2.46
L8X6X7/16,20.2,5.93,8.00,6.00,0.4375,0.9375,1.44,2.43
L8X4X1,37.4,11.0,8.00,4.00,1,1.5,1.04,3.03
L8X4X7/8,33.1,9.73,8.00,4.00,0.875,1.375,0.997,2.99
L8X4X3/4,28.7,8.44,8.00,4.00,0.75,1.25,0.949,2.94
L8X4X5/8,24.2,7.11,8.00,4.00,0.625,1.125,0.902,2.89
L8X4X9/16,21.9,6.43,8.00,4.00,0.5625,1.0625,0.878,2.86
L8X4X1/2,19.6,5.75,8.00,4.00,0.5,1,0.854,2.84
L8X4X7/16,17.2,5.06,8.00,4.00,0.4375,0.9375,0.829,2.81
L7X4X3/4,26.2,7.69,7.00,4.00,0.75,1.25,1.00,2.50
L7X4X5/8,22.1,6.48,7.00,4.00,0.625,1.125,0.958,2.45
L7X4X1/2,17.9,5.25,7.00,4.00,0.5,1,0.910,2.40
L7X4X7/16,15.7,4.62,7.00,4.00,0.4375,0.9375,0.886,2.38
L7X4X3/8,13.6,3.98,7.00,4.00,0.375,0.875,0.861,2.35
L6X6X1,37.4,11.0,6.00,6.00,1,1.5,1.86,1.86
L6X6X7/8,33.1,9.75,6.00,6.00,0.875,1.375,1.81,1.81
L6X6X3/4,28.7,8.46,6.00,6.00,0.75,1.25,1.77,1.77
L6X6X5/8,24.2,7.13,6.00,6.00,0.625,1.125,1.72,1.72
L6X6X9/16,21.9,6.45,6.00,6.00,0.5625,1.0625,1.70,1.70
L6X6X1/2,19.6,5.77,6.00,6.00,0.5,1,1.67,1.67
L6X6X7/16,17.2,5.08,6.00,6.00,0.4375,0.9375,1.65,1.65
